-Infini;+Infini;+Infini;12,76032;115,9609;8,035836
-Infini;+Infini;+Infini;359,5391;121,8284;359,849
-Infini;+Infini;+Infini;359,2188;121,3449;359,8948
-Infini;+Infini;+Infini;359,1689;121,6061;359,9346
-Infini;+Infini;+Infini;359,1192;121,5693;359,9583
-Infini;+Infini;+Infini;359,134;121,6115;359,9611
0,01869;0,15119;0,41192;359,8777;121,3961;359,9609
0,01698;0,13597;0,3736;359,6562;121,3178;-0,004488128
0,01722;0,1383;0,37926;359,6705;121,2993;359,9938
0,01932;0,16263;0,4394;359,6421;121,3077;359,9911
0,01965;0,1664;0,4494;359,6321;121,3231;359,9875
0,02209;0,19356;0,51894;359,6457;121,3051;-0,001293011
0,02361;0,20888;0,55848;359,6524;121,3054;0,003025109
0,01986;0,17662;0,47736;359,6659;121,3022;0,009036254
0,01763;0,15528;0,42346;359,6447;121,3029;359,9919
0,01528;0,13206;0,36527;359,6577;121,3017;-0,002000561
0,01445;0,12462;0,34698;359,6476;121,302;-0,003904141
0,01468;0,12834;0,35706;359,6395;121,2953;0,0062611
0,01438;0,128;0,35653;359,6781;121,2832;0,00753287
0,01372;0,12306;0,34569;359,6451;121,3136;0,01711154
0,01299;0,11618;0,32894;359,6562;121,2788;0,01152176
0,01125;0,09801;0,28365;359,6645;121,2723;0,009196687
0,0116;0,10715;0,307;359,6552;121,2666;-0,001519718
0,01317;0,12629;0,35669;359,6425;121,2503;359,9792
0,01303;0,12555;0,35572;359,6435;121,2668;3,868737E-07
0,01326;0,12923;0,36561;359,6546;121,2521;359,9871
0,01356;0,13256;0,37443;359,6516;121,2559;359,9919
0,01357;0,13474;0,3799;359,6736;121,2424;359,9801
0,01292;0,12929;0,36657;359,6486;121,2578;359,986
0,01255;0,12491;0,35602;359,6259;121,257;-0,001559317
0,01247;0,12383;0,35336;359,6401;121,261;-0,002217307
0,01239;0,12442;0,35453;359,628;121,2617;0,003997892
0,0115;0,11311;0,32572;359,6319;121,2578;0,001607582
0,01064;0,10386;0,30198;359,6409;121,2504;359,9927
0,01056;0,10365;0,30096;359,6365;121,2492;359,9814
0,01007;0,09869999;0,28787;359,6285;121,2353;359,978
0,00878;0,08246;0,24738;359,6465;121,2308;359,9819
0,00781;0,06963;0,21502;359,6798;121,2443;359,9716
0,00784;0,06853;0,21203;359,647;121,2329;359,9875
0,00767;0,06678;0,20732;359,627;121,24;359,9854
0,008649999;0,07545;0,22677;359,6544;121,2322;0,005171108
0,00765;0,06229;0,19452;359,6403;121,2317;0,002870644
0,00731;0,05866;0,1857;359,6339;121,2246;0,005843439
0,0073;0,05946;0,18732;359,6591;121,2272;359,9906
0,00734;0,06025;0,18893;359,6519;121,222;-0,0002112061
0,00741;0,06094;0,19055;359,6538;121,2207;0,003076789
0,00752;0,06178;0,19209;359,6438;121,2181;0,001484995
0,0076;0,06254;0,19365;359,6571;121,2193;0,0005294292
0,00754;0,06325;0,19521;359,6338;121,2175;0,0006979474
0,00763;0,06392;0,19677;359,6706;121,2251;0,001445996
0,00764;0,0646;0,19831;359,6464;121,2181;359,9859
0,00771;0,06534;0,19982;359,6376;121,2243;359,9911
0,00774;0,06597;0,20136;359,6598;121,2525;0,008515514
0,00777;0,06657;0,2029;359,6687;121,2525;0,01143511
0,00785;0,0672;0,20441;359,6722;121,2562;0,005729982
0,00792;0,06774;0,20596;359,6656;121,2596;0,01354103
0,00797;0,06832;0,20747;359,6613;121,2622;0,006846851
0,00807;0,06889;0,20898;359,6556;121,2618;0,01068125
0,00821;0,06945;0,21048;359,652;121,2587;-0,000519344
0,00828;0,07007;0,21194;359,6224;121,2508;0,002789486
0,00837;0,07067;0,2134;359,6512;121,2607;0,004762997
0,00844;0,07115;0,21489;359,6534;121,2576;0,007121949
0,00849;0,07187;0,21627;359,6646;121,2625;0,00257201
0,0086;0,0724;0,21772;359,6653;121,26;0,01230211
0,00872;0,07277;0,21923;359,667;121,2607;359,9933
