-Infini;+Infini;+Infini;359,2144;121,9052;-2,134635E-07
-Infini;+Infini;+Infini;359,1628;121,61;-8,004981E-08
-Infini;+Infini;+Infini;359,1271;121,6339;-4,536199E-07
-Infini;+Infini;+Infini;359,1294;121,631;3,468855E-07
-Infini;+Infini;+Infini;359,1356;121,6293;-1,334173E-07
-Infini;+Infini;+Infini;359,1349;121,6277;-1,067339E-07
0,00785;0,0672;0,20441;359,6545;121,2563;-4,002137E-08
0,00792;0,06774;0,20596;359,6526;121,2557;-1,334046E-07
0,00797;0,06832;0,20747;359,6539;121,2575;-3,068305E-07
0,00807;0,06889;0,20898;359,6535;121,2574;-5,202778E-07
0,00821;0,06945;0,21048;359,6539;121,2583;4,535756E-07
0,00828;0,07007;0,21194;359,6525;121,258;3,868732E-07
0,00837;0,07067;0,2134;359,6535;121,2605;-5,336183E-08
0,00844;0,07115;0,21489;359,6527;121,2618;-2,668092E-08
0,00849;0,07187;0,21627;359,6517;121,2637;5,202779E-07
0,0086;0,0724;0,21772;359,6497;121,2629;3,335116E-07
0,00872;0,07277;0,21923;359,6485;121,2651;-1,600856E-07
0,008760001;0,07344;0,2206;359,647;121,2663;-2,00107E-07
0,00873;0,07405;0,22198;359,6465;121,2669;5,469591E-07
0,00863;0,07466;0,22335;359,6441;121,2671;-5,602998E-07
0,00854;0,07541;0,22466;359,6419;121,2663;2,668094E-07
-Infini;+Infini;+Infini;359,641;121,2641;6,403427E-07
0,00845;0,07594001;0,22604;359,6422;121,2639;2,001071E-07
0,00837;0,07662001;0,22735;359,6468;121,2632;-2,401284E-07
0,00826;0,07699;0,22877;359,6483;121,2617;-7,870874E-07
0,00833;0,07713;0,23029;359,6507;121,2604;-1,334046E-07
0,00831;0,07757;0,2317;359,6525;121,2586;4,669161E-07
0,00822;0,07844999;0,2329;359,6539;121,2541;-1,067237E-07
0,00682;0,0569;0,18099;359,6539;121,2531;0
0,00747;0,06527;0,20253;359,653;121,2525;8,404488E-07
0,00781;0,0683;0,21128;359,6528;121,2524;-1,334046E-08
0,00882;0,08035;0,24263;359,651;121,253;-4,535756E-07
0,008640001;0,07836;0,23756;359,6507;121,2544;-3,335115E-07
0,00833;0,07441001;0,2282;359,6496;121,2557;-2,267878E-07
0,00757;0,06508999;0,20454;359,6499;121,2584;2,668093E-07
0,00682;0,05677;0,18338;359,645;121,2605;5,602997E-07
0,00678;0,05752;0,1851;359,6441;121,2611;2,668095E-08
0,00677;0,0581;0,18687;359,6434;121,2618;-4,002141E-08
0,00675;0,05897;0,18851;359,6419;121,2633;6,803639E-07
0,00664;0,0599;0,19009;359,6396;121,2647;5,336191E-08
0,00655;0,06094;0,1916;359,637;121,2658;6,670241E-08
0,00641;0,06182;0,19316;359,6333;121,2667;-3,201716E-07
0,00643;0,06239;0,19481;359,6308;121,2666;2,134479E-07
0,00643;0,06289;0,19649;359,6287;121,2675;4,802578E-07
0,00642;0,06344;0,19813;359,6277;121,2675;2,134479E-07
0,0064;0,06406;0,19972;359,6264;121,2658;3,068314E-07
0,00642;0,0647;0,20129;359,6269;121,2668;-2,934909E-07
0,00646;0,06530999;0,20286;359,6266;121,268;-1,467455E-07
0,00647;0,06594;0,20441;359,6266;121,268;-1,467455E-07
0,00653;0,06661;0,20592;359,6266;121,2686;-4,002149E-08
0,00662;0,06715;0,20748;359,6254;121,2686;3,468529E-07
0,00675;0,06777;0,20899;359,6274;121,2681;-3,601934E-07
0,00679;0,06818;0,21058;359,6269;121,2657;5,069389E-07
0,0069;0,06866001;0,21212;359,6259;121,2657;-8,004297E-08
0,00702;0,06915;0,21365;359,6334;121,2689;-6,670243E-08
